time,P1 [mmHg]3
1673.4,1.227528138
1673.5,1.227948468
1673.6,1.228177739
1673.7,1.225643023
1673.8,1.221299615
1673.9,1.222165749
1674,1.220777387
1674.1,1.222815349
1674.2,1.228445221
1674.3,1.230011905
1674.4,1.228941975
1674.5,1.228114052
1674.6,1.226127039
1674.7,1.222458706
1674.8,1.222738926
1674.9,1.224356559
1675,1.226993173
1675.1,1.229629787
1675.2,1.22961705
1675.3,1.230750667
1675.4,1.229120296
1675.5,1.227158757
1675.6,1.223757907
1675.7,1.22402539
1675.8,1.226177988
1675.9,1.230878039
1676,1.230928988
1676.1,1.231374793
1676.2,1.230801616
1676.3,1.229375042
1676.4,1.226343572
1676.5,1.224738677
1676.6,1.224776888
1676.7,1.228024892
1676.8,1.230636031
1676.9,1.230878039
1677,1.231349318
1677.1,1.229910007
1677.2,1.227680985
1677.3,1.225069846
1677.4,1.224203711
1677.5,1.225477438
1677.6,1.228687229
1677.7,1.230928988
1677.8,1.230763404
1677.9,1.2303176
1678,1.229349567
1678.1,1.228763653
1678.2,1.223923492
1678.3,1.224280135
1678.4,1.224687728
1678.5,1.22849617
1678.6,1.227477189
1678.7,1.228534382
1678.8,1.229871795
1678.9,1.229922744
1679,1.2268658
1679.1,1.224050864
1679.2,1.224891524
1679.3,1.227782883
1679.4,1.231973444
1679.5,1.232941477
1679.6,1.230941726
1679.7,1.229871795
1679.8,1.228343323
1679.9,1.225846819
1680,1.226012403
1680.1,1.228305111
1680.2,1.23208808
1680.3,1.231629538
1680.4,1.231502165
1680.5,1.229935482
1680.6,1.227897519
1680.7,1.224636779
1680.8,1.225872293
1680.9,1.227222444
1681,1.231336581
1681.1,1.231973444
1681.2,1.231285632
1681.3,1.230483184
1681.4,1.229145771
1681.5,1.225948717
1681.6,1.225260905
1681.7,1.225401015
1681.8,1.22798668
1681.9,1.230712455
1682,1.231782385
1682.1,1.23110731
1682.2,1.231298369
1682.3,1.228763653
1682.4,1.226789377
1682.5,1.224089076
1682.6,1.223668746
1682.7,1.225286379
1682.8,1.226674741
1682.9,1.229833583
1683,1.231922495
1683.1,1.231081836
1683.2,1.230941726
1683.3,1.231158259
1683.4,1.229375042
1683.5,1.227464452
1683.6,1.225401015
1683.7,1.2268658
1683.8,1.226496419
1683.9,1.230852565
1684,1.232712206
1684.1,1.232075342
1684.2,1.232381037
1684.3,1.230623294
1684.4,1.231285632
1684.5,1.22658558
1684.6,1.223579585
1684.7,1.227451714
1684.8,1.228878288
1684.9,1.231476691
1685,1.23138753
1685.1,1.231018149
1685.2,1.230979937
1685.3,1.230534133
1685.4,1.228789128
1685.5,1.224827838
1685.6,1.225311854
1685.7,1.226330835
1685.8,1.229069347
1685.9,1.232266401
1686,1.232062605
1686.1,1.232202715
1686.2,1.232253664
1686.3,1.22975716
1686.4,1.226012403
1686.5,1.2241655
1686.6,1.226165251
1686.7,1.226662004
1686.8,1.22863628
1686.9,1.232686731
1687,1.232381037
1687.1,1.231311106
1687.2,1.231349318
1687.3,1.231336581
1687.4,1.233756662
1687.5,1.232164503
1687.6,1.230814353
1687.7,1.232979688
1687.8,1.235004914
1687.9,1.237195724
1688,1.236724445
1688.1,1.238125544
1688.2,1.237947222
1688.3,1.23818923
1688.4,1.234329839
1688.5,1.232903265
1688.6,1.231693224
1688.7,1.231234683
1688.8,1.23627864
1688.9,1.239246424
1689,1.234317101
1689.1,1.234075093
1689.2,1.236074844
1689.3,1.235858311
1689.4,1.23287779
1689.5,1.233540128
1689.6,1.235871048
1689.7,1.233654763
1689.8,1.234610058
1689.9,1.235883785
1690,1.235272396
1690.1,1.235781887
1690.2,1.236469699
1690.3,1.236673496
1690.4,1.236100319
1690.5,1.235246922
1690.6,1.234100568
1690.7,1.232623045
1690.8,1.235399769
1690.9,1.235450718
1691,1.23753963
1691.1,1.234711957
1691.2,1.234635533
1691.3,1.236087581
1691.4,1.234215203
1691.5,1.234661008
1691.6,1.234953965
1691.7,1.24023993
1691.8,1.236023895
1691.9,1.235616303
1692,1.235285134
1692.1,1.23753963
1692.2,1.235641777
1692.3,1.234520898
1692.4,1.234559109
1692.5,1.237374045
1692.6,1.239348322
1692.7,1.238698721
1692.8,1.239271898
1692.9,1.239017153
1693,1.236265903
1693.1,1.236928241
1693.2,1.236113056
1693.3,1.236138531
1693.4,1.23902989
1693.5,1.238724196
1693.6,1.237628791
1693.7,1.237565104
1693.8,1.237335834
1693.9,1.235781887
1694,1.235654514
1694.1,1.235399769
1694.2,1.2371193
1694.3,1.238125544
1694.4,1.239220949
1694.5,1.238252917
1694.6,1.23888978
1694.7,1.238227442
1694.8,1.236826343
1694.9,1.235450718
1695,1.237182986
1695.1,1.238265654
1695.2,1.23818923
1695.3,1.237348571
1695.4,1.237641528
1695.5,1.237552367
1695.6,1.236253166
1695.7,1.235527142
1695.8,1.235641777
1695.9,1.23753963
1696,1.23669897
1696.1,1.236877292
1696.2,1.23697919
1696.3,1.236342327
1696.4,1.23618948
1696.5,1.235603565
1696.6,1.23590926
1696.7,1.236749919
1696.8,1.23818923
1696.9,1.237310359
1697,1.237132037
1697.1,1.237552367
1697.2,1.238545874
1697.3,1.236673496
1697.4,1.235781887
1697.5,1.235527142
1697.6,1.236125793
1697.7,1.238036383
1697.8,1.239004416
1697.9,1.238431239
1698,1.237246673
1698.1,1.237017402
1698.2,1.237208461
1698.3,1.236456962
1698.4,1.236138531
1698.5,1.237335834
1698.6,1.238151019
1698.7,1.238520399
1698.8,1.238023646
1698.9,1.238393027
1699,1.238125544
1699.1,1.236991927
1699.2,1.236291378
1699.3,1.237310359
1699.4,1.237641528
1699.5,1.239883287
1699.6,1.239959711
1699.7,1.237412257
1699.8,1.238023646
1699.9,1.237157512
1700,1.235616303
1700.1,1.235781887
1700.2,1.234418999
1700.3,1.233068849
1700.4,1.232610308
1700.5,1.234406262
1700.6,1.236151268
1700.7,1.235960209
1700.8,1.235055863
1700.9,1.234762906
1701,1.236342327
1701.1,1.236227691
1701.2,1.23413878
1701.3,1.234520898
1701.4,1.235743675
1701.5,1.235234185
1701.6,1.236495174
1701.7,1.237017402
1701.8,1.237616053
1701.9,1.237348571
1702,1.237463206
1702.1,1.238800619
1702.2,1.235132286
1702.3,1.236571598
1702.4,1.23604937
1702.5,1.236673496
1702.6,1.238316603
1702.7,1.23832934
1702.8,1.23959033
1702.9,1.239195475
1703,1.239004416
1703.1,1.23945022
1703.2,1.238851568
1703.3,1.238915255
1703.4,1.235679989
1703.5,1.235565354
1703.6,1.238851568
1703.7,1.238265654
1703.8,1.23810007
1703.9,1.239004416
1704,1.239182737
1704.1,1.239399271
1704.2,1.23874967
1704.3,1.236495174
1704.4,1.237335834
1704.5,1.236100319
1704.6,1.238061858
1704.7,1.23874967
1704.8,1.239896024
1704.9,1.237195724
1705,1.2371193
1705.1,1.235374295
1705.2,1.236113056
1705.3,1.238354815
1705.4,1.236788131
1705.5,1.236138531
1705.6,1.236851817
1705.7,1.239437483
1705.8,1.239755914
1705.9,1.239119051
1706,1.239692228
1706.1,1.240329091
1706.2,1.238838831
1706.3,1.237233935
1706.4,1.235234185
1706.5,1.23725941
1706.6,1.239424745
1706.7,1.239946973
1706.8,1.239641279
1706.9,1.239946973
1707,1.239119051
1707.1,1.23846945
1707.2,1.236737182
1707.3,1.237323096
1707.4,1.239259161
1707.5,1.240596574
1707.6,1.241131539
1707.7,1.239946973
1707.8,1.239182737
1707.9,1.239259161
1708,1.237246673
1708.1,1.2371193
1708.2,1.237182986
1708.3,1.23959033
1708.4,1.239857812
1708.5,1.238367552
1708.6,1.239539381
1708.7,1.237068351
1708.8,1.235565354
1708.9,1.232763155
1709,1.234317101
1709.1,1.236546123
1709.2,1.235858311
1709.3,1.235705463
1709.4,1.239946973
1709.5,1.240138032
1709.6,1.237565104
1709.7,1.237208461
1709.8,1.240494676
1709.9,1.24136081
1710,1.240405515
1710.1,1.241004166
1710.2,1.238851568
1710.3,1.238227442
1710.4,1.236890029
1710.5,1.23810007
1710.6,1.240774896
1710.7,1.240902268
1710.8,1.240341829
1710.9,1.240965955
1711,1.238736933
1711.1,1.237297622
1711.2,1.23697919
1711.3,1.238622298
1711.4,1.240188981
1711.5,1.237807112
1711.6,1.238393027
1711.7,1.23781985
1711.8,1.236571598
1711.9,1.236788131
1712,1.238711458
1712.1,1.239297373
1712.2,1.23959033
1712.3,1.239233686
1712.4,1.238966204
1712.5,1.237730689
1712.6,1.237144775
1712.7,1.238813357
1712.8,1.240927743
1712.9,1.239564855
1713,1.239195475
1713.1,1.239539381
1713.2,1.238647772
1713.3,1.23669897
1713.4,1.238138281
1713.5,1.240736684
1713.6,1.239959711
1713.7,1.238342078
1713.8,1.238456713
1713.9,1.239361059
1714,1.238877043
1714.1,1.237845324
1714.2,1.240583837
1714.3,1.240074346
1714.4,1.239959711
1714.5,1.239755914
1714.6,1.239666753
1714.7,1.239080839
1714.8,1.236711708
1714.9,1.23767974
1715,1.240341829
1715.1,1.240736684
1715.2,1.240252668
1715.3,1.238163756
1715.4,1.240430989
1715.5,1.239055365
1715.6,1.237705214
1715.7,1.236597072
1715.8,1.239577593
1715.9,1.238966204
1716,1.238533137
1716.1,1.238787882
1716.2,1.24029088
1716.3,1.23973044
1716.4,1.237030139
1716.5,1.235094075
1716.6,1.235374295
1716.7,1.237845324
1716.8,1.238061858
1716.9,1.236788131
1717,1.236800868
1717.1,1.237233935
1717.2,1.237297622
1717.3,1.235578091
1717.4,1.236571598
1717.5,1.238112807
1717.6,1.238927992
1717.7,1.23917
1717.8,1.239055365
1717.9,1.238991678
1718,1.238418501
1718.1,1.238966204
1718.2,1.237221198
1718.3,1.236469699
1718.4,1.237233935
1718.5,1.238800619
1718.6,1.240214456
1718.7,1.238227442
1718.8,1.239679491
1718.9,1.238940729
1719,1.239182737
1719.1,1.238940729
1719.2,1.238787882
1719.3,1.236456962
1719.4,1.237361308
1719.5,1.237717952
1719.6,1.240481939
1719.7,1.241093327
1719.8,1.240813107
1719.9,1.239755914
1720,1.240125295
1720.1,1.239934236
1720.2,1.23832934
1720.3,1.236724445
1720.4,1.237450469
1720.5,1.23846945
1720.6,1.240762158
1720.7,1.24066026
1720.8,1.239131788
1720.9,1.239220949
1721,1.239692228
1721.1,1.240915006
1721.2,1.23945022
1721.3,1.237412257
1721.4,1.23767974
1721.5,1.238125544
1721.6,1.239997922
1721.7,1.241806614
1721.8,1.241819352
1721.9,1.24038004
1722,1.239513906
1722.1,1.239997922
1722.2,1.240188981
1722.3,1.240367303
1722.4,1.238431239
1722.5,1.238851568
1722.6,1.239755914
1722.7,1.240991429
1722.8,1.241462708
1722.9,1.242812858
1723,1.241335335
1723.1,1.240138032
1723.2,1.24023993
1723.3,1.238571348
1723.4,1.237323096
1723.5,1.237132037
1723.6,1.235603565
1723.7,1.236074844
1723.8,1.23683908
1723.9,1.237590579
1724,1.24023993
1724.1,1.240965955
1724.2,1.23987055
1724.3,1.239322847
1724.4,1.23987055
1724.5,1.23931011
1724.6,1.239424745
1724.7,1.235705463
1724.8,1.233756662
1724.9,1.234571847
